site_id,site_name,region,city,service_type,site_type,capacity_mbps,active_customers,criticality,latitude,longitude,activation_date
SITE-0204,MED Aggregation Node 0204,Medan,Medan,Cloud Connectivity,Aggregation,6200,1528,Low,3.673361,98.761361,2021-08-15
SITE-0205,MAK Access Node 0205,Makassar,Makassar,Cloud Connectivity,Access,1400,1034,High,-4.986765,119.372192,2017-05-17
SITE-0206,SEM Aggregation Node 0206,Semarang,Semarang,Voice,Aggregation,6150,1535,Low,-7.092607,110.56819,2018-07-14
SITE-0207,YOG Access Node 0207,Yogyakarta,Yogyakarta,Cloud Connectivity,Access,1450,1320,Low,-7.917606,110.430654,2021-07-11
SITE-0208,DEN Access Node 0208,Denpasar,Denpasar,Cloud Connectivity,Access,1300,1448,High,-8.754034,115.336175,2017-08-24
SITE-0209,PAL Aggregation Node 0209,Palembang,Palembang,Mobile Broadband,Aggregation,6900,1203,Low,-2.847085,104.901325,2020-11-17
SITE-0210,BAL Access Node 0210,Balikpapan,Balikpapan,IPTV,Access,1400,1436,Medium,-1.171303,116.952546,2016-06-23
SITE-0211,JAK Core Node 0211,Jakarta,Jakarta,Mobile Broadband,Core,11700,1677,Low,-6.147417,106.73314,2021-12-06
SITE-0212,BAN Access Node 0212,Bandung,Bandung,Cloud Connectivity,Access,1400,1447,Low,-7.014735,107.510466,2024-08-22
SITE-0213,SUR Access Node 0213,Surabaya,Surabaya,Cloud Connectivity,Access,1300,439,Medium,-7.386399,112.668479,2020-07-02
SITE-0214,MED Access Node 0214,Medan,Medan,Cloud Connectivity,Access,1000,1513,Medium,3.582902,98.596882,2021-03-12
SITE-0215,MAK Access Node 0215,Makassar,Makassar,Voice,Access,1150,1878,Medium,-4.984426,119.328838,2022-04-10
SITE-0216,SEM Aggregation Node 0216,Semarang,Semarang,Enterprise VPN,Aggregation,5100,80,Medium,-6.822233,110.399677,2017-08-19
SITE-0217,YOG Edge Node 0217,Yogyakarta,Yogyakarta,Cloud Connectivity,Edge,2750,1829,Low,-7.739082,110.42201,2023-01-09
SITE-0218,DEN Access Node 0218,Denpasar,Denpasar,Enterprise VPN,Access,1200,815,High,-8.59644,115.310077,2017-02-14
SITE-0219,PAL Access Node 0219,Palembang,Palembang,IPTV,Access,1400,792,Medium,-3.138173,104.864168,2023-07-12
SITE-0220,BAL Aggregation Node 0220,Balikpapan,Balikpapan,Fiber Internet,Aggregation,5100,2008,High,-1.24778,116.892174,2020-01-22
SITE-0221,JAK Access Node 0221,Jakarta,Jakarta,Cloud Connectivity,Access,1150,1106,High,-6.369876,106.980078,2024-03-11
SITE-0222,BAN Access Node 0222,Bandung,Bandung,Mobile Broadband,Access,1050,1547,Medium,-7.071835,107.656221,2024-02-05
SITE-0223,SUR Access Node 0223,Surabaya,Surabaya,Enterprise VPN,Access,1250,422,Low,-7.207906,112.688259,2017-10-20
SITE-0224,MED Access Node 0224,Medan,Medan,Mobile Broadband,Access,1050,2159,High,3.718916,98.681749,2024-09-16
SITE-0225,MAK Access Node 0225,Makassar,Makassar,Mobile Broadband,Access,1400,1679,Medium,-5.029183,119.52379,2022-09-05
SITE-0226,SEM Access Node 0226,Semarang,Semarang,Mobile Broadband,Access,1050,1070,Low,-6.799558,110.47852,2025-01-14
SITE-0227,YOG Access Node 0227,Yogyakarta,Yogyakarta,Cloud Connectivity,Access,1000,482,Low,-7.747723,110.418715,2020-11-11
SITE-0228,DEN Aggregation Node 0228,Denpasar,Denpasar,Cloud Connectivity,Aggregation,5700,993,Medium,-8.541208,115.151645,2018-10-07
SITE-0229,PAL Aggregation Node 0229,Palembang,Palembang,IPTV,Aggregation,5850,1244,Medium,-3.143813,104.8908,2018-02-01
SITE-0230,BAL Aggregation Node 0230,Balikpapan,Balikpapan,IPTV,Aggregation,5000,2077,High,-1.305725,116.932371,2023-10-22
SITE-0231,JAK Access Node 0231,Jakarta,Jakarta,IPTV,Access,1350,1544,High,-6.077371,106.947117,2017-02-09
SITE-0232,BAN Edge Node 0232,Bandung,Bandung,Enterprise VPN,Edge,2550,136,Low,-6.851674,107.518317,2019-11-26
SITE-0233,SUR Access Node 0233,Surabaya,Surabaya,Voice,Access,1400,1387,Medium,-7.184438,112.904985,2021-06-15
SITE-0234,MED Access Node 0234,Medan,Medan,Mobile Broadband,Access,1050,1672,Medium,3.636315,98.590884,2025-03-24
SITE-0235,MAK Access Node 0235,Makassar,Makassar,Voice,Access,1100,1298,Medium,-5.004803,119.396147,2017-10-10
SITE-0236,SEM Access Node 0236,Semarang,Semarang,Cloud Connectivity,Access,1450,2100,Critical,-6.941191,110.299849,2016-08-14
SITE-0237,YOG Access Node 0237,Yogyakarta,Yogyakarta,Voice,Access,1200,1095,Critical,-7.925833,110.424456,2021-09-15
SITE-0238,DEN Access Node 0238,Denpasar,Denpasar,Mobile Broadband,Access,1150,1107,High,-8.613923,115.289122,2017-08-07
SITE-0239,PAL Aggregation Node 0239,Palembang,Palembang,Voice,Aggregation,6800,1427,Medium,-3.133378,104.726864,2023-06-07
SITE-0240,BAL Access Node 0240,Balikpapan,Balikpapan,Mobile Broadband,Access,1000,733,Medium,-1.2345,116.944799,2017-01-16
SITE-0241,JAK Core Node 0241,Jakarta,Jakarta,Mobile Broadband,Core,10850,1131,Low,-6.217562,106.808477,2017-02-04
SITE-0242,BAN Aggregation Node 0242,Bandung,Bandung,Enterprise VPN,Aggregation,7200,387,High,-6.761834,107.588698,2021-06-29
SITE-0243,SUR Core Node 0243,Surabaya,Surabaya,Voice,Core,14750,1765,Low,-7.39106,112.705348,2020-08-12
SITE-0244,MED Access Node 0244,Medan,Medan,Enterprise VPN,Access,1050,825,Low,3.76269,98.498099,2022-12-20
SITE-0245,MAK Aggregation Node 0245,Makassar,Makassar,Voice,Aggregation,6550,1419,Medium,-5.097093,119.295263,2023-04-13
SITE-0246,SEM Aggregation Node 0246,Semarang,Semarang,Mobile Broadband,Aggregation,5250,1747,Medium,-6.944809,110.442066,2023-10-20
SITE-0247,YOG Access Node 0247,Yogyakarta,Yogyakarta,Cloud Connectivity,Access,1400,1354,High,-7.966988,110.37364,2019-01-10
SITE-0248,DEN Core Node 0248,Denpasar,Denpasar,Cloud Connectivity,Core,11750,849,High,-8.772832,115.278767,2021-10-20
SITE-0249,PAL Aggregation Node 0249,Palembang,Palembang,Enterprise VPN,Aggregation,6000,622,High,-2.840729,104.718046,2023-03-11
SITE-0250,BAL Aggregation Node 0250,Balikpapan,Balikpapan,Mobile Broadband,Aggregation,5200,1384,High,-1.388063,116.837648,2017-08-14
